PackageID|NondrugItemID|ItemCount|PackageItemUnitID|
64051|1216|30.0|3|
64053|1217|100.0|3|
64055|1218|200.0|3|
64057|1219|100.0|3|
64059|1220|32.0|3|
64061|1221|1.0|3|
64062|1222|1.0|3|
64063|1223|1.0|3|
64063|1224|10.0|3|
64063|1225|10.0|3|
64063|1226|1.0|3|
64063|1227|1.0|3|
64068|1228|1.0|3|
64068|1229|10.0|3|
64068|1230|1.0|3|
64068|1231|10.0|3|
64068|1232|1.0|3|
64151|1236|100.0|3|
64152|1237|50.0|3|
64164|1238|1.0|3|
64164|1239|1.0|3|
64164|1240|10.0|3|
64226|1242|1.0|3|
64226|1243|1.0|3|
64226|1244|2.0|3|
64227|1245|2.0|3|
64228|1246|2.0|3|
64254|1247|2.0|3|
64255|1248|1.0|3|
64338|1268|100.0|3|
64339|1269|100.0|3|
64340|1270|1.0|3|
64341|1271|1.0|3|
64342|1272|100.0|3|
64343|1273|1.0|3|
64373|1274|50.0|3|
64377|1275|100.0|3|
64378|1276|100.0|3|
64423|1280|1.0|3|
64423|1281|1.0|3|
64453|1282|1.0|3|
64585|1283|100.0|3|
64586|1284|100.0|3|
64588|1285|100.0|3|
64596|1286|100.0|3|
64598|1287|100.0|3|
64599|1288|100.0|3|
64600|1289|100.0|3|
64601|1290|100.0|3|
64629|1291|2.0|3|
64629|1292|2.0|3|
64698|1293|20.0|3|
64698|1294|20.0|3|
64722|1295|1.0|3|
64724|1295|4.0|3|
64725|1296|10.0|3|
64726|1297|10.0|3|
64727|1298|10.0|3|
64728|1299|10.0|3|
64729|1300|10.0|3|
64730|1301|10.0|3|
64731|1302|10.0|3|
64732|1303|10.0|3|
64733|1304|100.0|3|
64734|1305|100.0|3|
64735|1306|100.0|3|
64739|1307|10.0|3|
64739|1355|1.0|3|
64740|1308|10.0|3|
64740|1341|1.0|3|
64741|1309|10.0|3|
64741|1352|1.0|3|
64742|1310|10.0|3|
64742|1356|1.0|3|
64743|1311|10.0|3|
64743|1350|1.0|3|
64744|1312|10.0|3|
64744|1353|1.0|3|
64747|1313|10.0|3|
64747|1357|1.0|3|
64748|1314|10.0|3|
64748|1351|1.0|3|
64749|1315|10.0|3|
64749|1354|1.0|3|
64750|1316|10.0|3|
64751|1317|10.0|3|
64752|1318|10.0|3|
64753|1319|10.0|3|
64754|1320|10.0|3|
64755|1321|10.0|3|
64756|1322|10.0|3|
64757|1323|10.0|3|
64758|1324|10.0|3|
64759|1325|10.0|3|
64760|1326|10.0|3|
64761|1327|200.0|3|
64762|1328|100.0|3|
64763|1329|100.0|3|
64764|1330|100.0|3|
64765|1331|100.0|3|
64766|1332|10.0|3|
64766|1346|1.0|3|
64767|1333|10.0|3|
64767|1347|1.0|3|
64768|1334|10.0|3|
64768|1342|1.0|3|
64769|1343|1.0|3|
64770|1336|10.0|3|
64770|1344|1.0|3|
64771|1337|10.0|3|
64771|1345|1.0|3|
64772|1338|10.0|3|
64772|1348|1.0|3|
64773|1339|10.0|3|
64773|1349|1.0|3|
64796|1340|100.0|3|
64802|1358|100.0|3|
64803|1359|100.0|3|
64804|1360|1.0|3|
64804|1361|3.0|3|
64805|1362|50.0|3|
64806|1363|100.0|3|
64807|1364|200.0|3|
64808|1365|50.0|3|
64809|1366|100.0|3|
64810|1367|200.0|3|
64811|1368|100.0|3|
64812|1369|100.0|3|
64813|1370|200.0|3|
64815|1371|200.0|3|
64816|1372|100.0|3|
64817|1373|100.0|3|
64818|1374|200.0|3|
64819|1375|100.0|3|
64820|1376|100.0|3|
64822|1377|50.0|3|
64823|1378|50.0|3|
64825|1379|2.0|3|
64825|1382|10.0|3|
64826|1380|1.0|3|
64826|1383|10.0|3|
64827|1381|1.0|3|
64830|1384|100.0|3|
64831|1385|200.0|3|
64832|1386|200.0|3|
64836|1387|200.0|3|
64837|1388|100.0|3|
64838|1389|200.0|3|
64839|1390|100.0|3|
64840|1391|200.0|3|
64841|1392|100.0|3|
64843|1393|200.0|3|
64844|1394|100.0|3|
64845|1395|200.0|3|
64846|1396|100.0|3|
64847|1397|200.0|3|
64848|1398|100.0|3|
64851|1399|1.0|3|
64852|1400|1.0|3|
64857|1416|1.0|3|
64859|1417|1.0|3|
64860|1404|1.0|3|
64861|1405|1.0|3|
64862|1418|1.0|3|
64867|1407|1.0|3|
64867|1408|10.0|3|
64868|1409|1.0|3|
64868|1410|50.0|3|
64869|1411|1.0|3|
64869|1412|10.0|3|
64874|1413|100.0|3|
64875|1414|100.0|3|
64876|1415|100.0|3|
65067|1419|1.0|3|
65115|1420|100.0|3|
65116|1421|5.0|3|
65117|1422|5.0|3|
65118|1423|2.0|3|
65125|518|2.0|3|
65126|1424|200.0|3|
65127|1425|200.0|3|
65128|1426|200.0|3|
65129|1427|200.0|3|
65130|1428|200.0|3|
65131|1429|200.0|3|
65151|1430|1.0|3|
65151|1431|1.0|3|
65151|1432|1.0|3|
65328|1434|25.0|3|
65329|1435|25.0|3|
65330|1436|50.0|3|
65331|1437|50.0|3|
65572|1439|1.0|3|
65573|1440|1.0|3|
65578|1441|50.0|3|
65579|1442|50.0|3|
65580|1443|100.0|3|
65582|1444|50.0|3|
65583|1445|100.0|3|
65584|1446|1.0|3|
